model,method,mode,compression,state,flops,params,pytorch_latency,pytorch_ram,pytorch_accuracy,onnx_accuracy,onnx_latency,onnx_ram
resnet34,builtin,l1_unstructured,0.1,baseline,3.680019432,21.797672,25.06,265.06,,100.0,63.72,4.14
resnet34,builtin,l1_unstructured,0.1,pruned,3.680019432,21.797672,23.19,591.98,,100.0,37.1,3.5
resnet34,builtin,l1_unstructured,0.3,baseline,3.680019432,21.797672,28.25,416.58,,100.0,30.08,2.3
resnet34,builtin,l1_unstructured,0.3,pruned,3.680019432,21.797672,22.35,582.81,,90.0,34.11,3.48
resnet34,builtin,l1_unstructured,0.5,baseline,3.680019432,21.797672,29.7,407.97,,100.0,30.63,3.48
resnet34,builtin,l1_unstructured,0.5,pruned,3.680019432,21.797672,21.03,558.17,,90.0,39.67,-10.11
resnet34,builtin,ln_structured,0.1,baseline,3.680019432,21.797672,26.9,411.02,,100.0,36.03,3.5
resnet34,builtin,ln_structured,0.1,pruned,3.680019432,21.797672,22.08,579.09,,0.0,43.1,3.59
resnet34,builtin,ln_structured,0.3,baseline,3.680019432,21.797672,22.6,488.27,,100.0,30.59,3.47
resnet34,builtin,ln_structured,0.3,pruned,3.680019432,21.797672,22.91,505.03,,0.0,41.26,3.53
resnet34,builtin,ln_structured,0.5,baseline,3.680019432,21.797672,23.09,470.25,,100.0,28.12,3.47
resnet34,builtin,ln_structured,0.5,pruned,3.680019432,21.797672,23.09,561.61,,0.0,39.53,3.64
resnet34,builtin,random_structured,0.1,baseline,3.680019432,21.797672,25.91,495.86,,100.0,30.25,3.48
